home_team,away_team,1,x,2,winning_index,winning odd,year
Flamurtari,Skënderbeu,2.4,3.1,3,2,3,2017-2018
Luftëtari,Laçi,2.31,3.16,2.85,1,2.31,2017-2018
Kukësi,Partizani,2.36,3.09,2.84,1,2.36,2017-2018
Skënderbeu,Kamza,1.29,5.25,8.25,1,1.29,2017-2018
Teuta,Vllaznia,2.2,3.15,3.13,1,2.2,2017-2018
Laçi,Kukësi,2.66,2.95,2.6,x,2.95,2017-2018
Flamurtari,Teuta,2.1,2.86,3.75,1,2.1,2017-2018
Partizani,Skënderbeu,2.03,3,3.85,2,3.85,2017-2018
Teuta,Kamza,2.05,3,3.25,x,3,2017-2018
Vllaznia,Laçi,1.95,3.1,3.55,1,1.95,2017-2018
Partizani,Teuta,1.75,3.38,5,2,5,2017-2018
Flamurtari,Vllaznia,1.8,3.3,4.1,x,3.3,2017-2018
Luftëtari,Partizani,2.22,3.3,4.1,x,3.3,2017-2018
Lushnja,Skënderbeu,12,5.6,1.22,2,1.22,2017-2018
Vllaznia,Kamza,2.1,3.1,3.2,x,3.1,2017-2018
Teuta,Kukësi,2.5,3.45,2.9,1,2.5,2017-2018
Kamza,Flamurtari,2.19,3,3.2,1,2.19,2017-2018
Kukësi,Luftëtari,1.63,3.5,5.5,x,3.5,2017-2018
Partizani,Vllaznia,2.3,3.39,4.49,1,2.3,2017-2018
Vllaznia,Kukësi,3.2,3.5,2.25,1,3.2,2017-2018
Kamza,Laçi,3.45,3,2.2,2,2.2,2017-2018
Flamurtari,Partizani,3.8,3.3,2.09,2,2.09,2017-2018
Laçi,Teuta,1.43,4.3,7.25,1,1.43,2017-2018
Kukësi,Flamurtari,1.53,4.2,7,x,4.2,2017-2018
Skënderbeu,Flamurtari,1.25,5.25,14.5,1,1.25,2016-2017
Teuta,Tirana,2.45,2.88,3.25,x,2.88,2016-2017
Vllaznia,Kukësi,4.33,3,2.01,x,3,2016-2017
Kukësi,Teuta,1.73,3.3,5.5,1,1.73,2016-2017
Luftëtari,Vllaznia,2.35,2.85,2.65,x,2.85,2016-2017
Skënderbeu,Teuta,1.15,8,17,1,1.15,2016-2017
Laçi,Partizani,5.5,3.3,1.9,2,1.9,2016-2017
Vllaznia,Laçi,1.62,3.4,6.5,2,6.5,2016-2017
Teuta,Luftëtari,1.98,2.93,4.35,1,1.98,2016-2017
Partizani,Flamurtari,1.38,4,12.5,1,1.38,2016-2017
Luftëtari,Flamurtari,1.75,3.15,4.25,x,3.15,2016-2017
Tirana,Laçi,1.55,3.2,8,1,1.55,2016-2017
Teuta,Kukësi,3.8,3.01,2.12,2,2.12,2016-2017
Teuta,Flamurtari,1.73,3.05,5.1,2,5.1,2016-2017
Tirana,Partizani,2.7,2.69,2.85,x,2.69,2016-2017
Flamurtari,Tirana,3.3,2.9,2.38,1,3.3,2016-2017
Partizani,Kukësi,2.6,2.62,3.4,x,2.62,2016-2017
Teuta,Skënderbeu,5.25,3.25,1.75,x,3.25,2016-2017
Laçi,Vllaznia,2.2,3.02,3.5,1,2.2,2016-2017
